classification_fixed_id,base_pay_rate_id,base_rate_type,base_rate,calculated_pay_rate_id,calculated_rate_type,calculated_rate,parent_classification_name,classification,classification_level,employee_rate_type_code,operative_from,operative_to,version_number,published_year,last_modified_datetime
309,,Weekly,881.7,,Hourly,23.2,Level 6,Gaming finance employee grade 5,,,2016-07-01,2017-06-30,,2016,2022-02-15T15:47:08+00:00
243,,Weekly,675.9,,Hourly,17.79,Level 1,Food and beverage attendant grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
242,,Weekly,656.9,,Hourly,17.29,,Introductory,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
244,,Weekly,675.9,,Hourly,17.79,Level 1,Guest service grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
245,,Weekly,675.9,,Hourly,17.79,Level 1,Kitchen attendant grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
249,,Weekly,701.8,,Hourly,18.47,Level 2,Food and beverage attendant grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
247,,Weekly,701.8,,Hourly,18.47,Level 2,Cook grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
251,,Weekly,701.8,,Hourly,18.47,Level 2,Guest service grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
246,,Weekly,701.8,,Hourly,18.47,Level 2,Clerical grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
250,,Weekly,701.8,,Hourly,18.47,Level 2,Front office grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
248,,Weekly,701.8,,Hourly,18.47,Level 2,Door person/security officer grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
252,,Weekly,701.8,,Hourly,18.47,Level 2,Kitchen attendant grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
253,,Weekly,701.8,,Hourly,18.47,Level 2,Leisure attendant grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
257,,Weekly,725.9,,Hourly,19.1,Level 3,Cook grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
255,,Weekly,701.8,,Hourly,18.47,Level 2,Storeperson grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
259,,Weekly,725.9,,Hourly,19.1,Level 3,Fork-lift driver,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
254,,Weekly,701.8,,Hourly,18.47,Level 2,Gardener grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
258,,Weekly,725.9,,Hourly,19.1,Level 3,Food and beverage attendant grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
256,,Weekly,725.9,,Hourly,19.1,Level 3,Clerical grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
260,,Weekly,725.9,,Hourly,19.1,Level 3,Front office grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
261,,Weekly,725.9,,Hourly,19.1,Level 3,Guest service grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
265,,Weekly,725.9,,Hourly,19.1,Level 3,Gardener grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
263,,Weekly,725.9,,Hourly,19.1,Level 3,Kitchen attendant grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
267,,Weekly,725.9,,Hourly,19.1,Level 3,Timekeeper/security officer grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
262,,Weekly,725.9,,Hourly,19.1,Level 3,Handyperson,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
266,,Weekly,725.9,,Hourly,19.1,Level 3,Storeperson grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
264,,Weekly,725.9,,Hourly,19.1,Level 3,Leisure attendant grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
268,,Weekly,764.9,,Hourly,20.13,Level 4,Clerical grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
269,,Weekly,764.9,,Hourly,20.13,Level 4,Cook (tradesperson) grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
273,,Weekly,764.9,,Hourly,20.13,Level 4,Leisure attendant grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
271,,Weekly,764.9,,Hourly,20.13,Level 4,Front office grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
275,,Weekly,764.9,,Hourly,20.13,Level 4,Storeperson grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
270,,Weekly,764.9,,Hourly,20.13,Level 4,Food and beverage attendant (tradesperson) grade 4,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
274,,Weekly,764.9,,Hourly,20.13,Level 4,Gardener grade 3 (tradesperson),,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
272,,Weekly,764.9,,Hourly,20.13,Level 4,Guest service grade 4,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
276,,Weekly,812.8,,Hourly,21.39,Level 5,Clerical supervisor,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
277,,Weekly,812.8,,Hourly,21.39,Level 5,Cook (tradesperson) grade 4,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
281,,Weekly,812.8,,Hourly,21.39,Level 5,Gardener grade 4 (tradesperson),,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
279,,Weekly,812.8,,Hourly,21.39,Level 5,Front office supervisor,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
283,,Annual,43475,,,,,Managerial staff (Hotels),,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
278,,Weekly,812.8,,Hourly,21.39,Level 5,Food and beverage supervisor,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
282,,Weekly,834.6,,Hourly,21.96,Level 6,Cook (tradesperson) grade 5,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
280,,Weekly,812.8,,Hourly,21.39,Level 5,Guest service supervisor,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
292,,Weekly,675.9,,Hourly,17.79,,Introductory,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
293,,Weekly,716.8,,Hourly,18.86,Level 1,Casino electronic gaming employee grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
294,,Weekly,740.9,,Hourly,19.5,Level 2,Casino electronic gaming employee grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
298,,Weekly,740.9,,Hourly,19.5,Level 2,Gaming finance employee grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
296,,Weekly,740.9,,Hourly,19.5,Level 2,Casino table gaming employee grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
300,,Weekly,764.9,,Hourly,20.13,Level 3,Gaming finance employee grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
295,,Weekly,740.9,,Hourly,19.5,Level 2,Casino equipment technician grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
299,,Weekly,764.9,,Hourly,20.13,Level 3,Casino equipment technician grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
297,,Weekly,740.9,,Hourly,19.5,Level 2,Customer liaison officer,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
301,,Weekly,764.9,,Hourly,20.13,Level 3,Security officer grade 1,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
302,,Weekly,800.8,,Hourly,21.07,Level 3A,Casino table gaming employee grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
306,,Weekly,837,,Hourly,22.03,Level 5,Casino table gaming employee grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
304,,Weekly,812.8,,Hourly,21.39,Level 4,Gaming finance employee grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
308,,Weekly,861,,Hourly,22.66,Level 6,Casino table gaming employee grade 4,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
303,,Weekly,812.8,,Hourly,21.39,Level 4,Casino equipment technician grade 3,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
307,,Weekly,837,,Hourly,22.03,Level 5,Gaming finance employee grade 4,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
305,,Weekly,812.8,,Hourly,21.39,Level 4,Security officer grade 2,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
309,,Weekly,861,,Hourly,22.66,Level 6,Gaming finance employee grade 5,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
310,,Weekly,861,,Hourly,22.66,Level 6,Surveillance operator,,,2015-07-01,2016-06-30,,2015,2022-02-15T15:47:08+00:00
311,,Annual,43475,,Annual,54344,,Salaries absorption (Managerial Staff (Hotels))—minimum amount,,,2015-07-01,2016-06-30,,2015,2023-04-05T09:46:53+00:00
